mass,pT,ratio,stat,sysup,sysdown,delta
1000,25.0,0.9943686174057648,0.007982364456484297,0.07816063093076264,0.01981174560668819,0.07204883746682784
1000,75.0,0.9786578417102675,0.009777395522316521,0.04437868365302322,0.0,0.480910124703048
1000,125.0,0.9816726358226767,0.012319611869908884,0.021570195564492578,0.0038399345088026005,0.8496614749053351
1000,175.0,0.950991507961819,0.014613408174404374,0.008883667532270656,0.03390107305117196,5.516695875904139
1000,225.0,0.9586432216980411,0.017663820110057845,0.01407160536673191,0.054501280948712205,2.9390234606589125
1000,275.0,1.0204972230887575,0.021905279851606306,0.012021565125245992,0.09003866917669201,0.22764911205577323
1000,325.0,1.037325039926107,0.025803216246110625,0.017861700156700744,0.1099752558448358,0.3393948905994713
1000,400.0,1.0670018957816345,0.023161301874301713,0.0195559956566711,0.13685483823392175,0.48958368331202323
1000,500.0,1.1056239963810293,0.031007221780714363,0.022953549835270426,0.16512410590829185,0.6396643046151704
1000,600.0,1.164161939849921,0.041583451194615755,0.022658231265103357,0.20829173718529326,0.7881346714386704
1000,725.0,1.2204784965910258,0.048735832227325165,0.027121900880224148,0.2622633507316321,0.8406759693108484
1000,875.0,1.282709681734274,0.07400182301680558,0.04233374496576259,0.31511581161717683,0.8971612064891499
1000,1050.0,1.2291462372504685,0.09136610450105466,0.03702617422270449,0.34129902079018315,0.671394358881968
1000,1300.0,1.2233992867104921,0.1339292073046518,0.043916350961043404,0.3463181357322249,0.6450695579027536
1000,2125.0,0.8530959335122806,0.1509228963775607,0.01855396664800313,0.22536408406317432,7.917663606640682
1400,25.0,0.9842734948123486,0.006837722091212792,0.06905220254717181,0.02365573907322238,0.22774806027234407
1400,75.0,0.9801327094185059,0.008879146982865349,0.036893586198896156,0.0,0.5385025590732212
1400,125.0,0.9707163771664781,0.011115675676280879,0.039786101608619506,0.0023745936970284154,0.7360264426404054
1400,175.0,0.9786682338712618,0.013559502271270167,0.01486204881484543,0.025132973872440623,1.4353179964952278
1400,225.0,0.9962996121715514,0.01643356349404255,0.009803597343791881,0.05898456760503745,0.3774520411930098
1400,275.0,1.0096762336498355,0.01936248229277708,0.009405460404971366,0.07873761337097329,0.12289213802107254
1400,325.0,1.0377086088828902,0.022909827224936643,0.029740392818933925,0.08221390620556412,0.4586646058223434
1400,400.0,1.0569716374815283,0.020071236647395293,0.026597195852591904,0.11425293779225343,0.4986448364690639
1400,500.0,1.090408829071153,0.026508943066122927,0.018338138791948788,0.15043610509888317,0.6009782625768361
1400,600.0,1.0835250732682502,0.03243623481798004,0.016768104289237362,0.17685016054712566,0.4722928891319445
1400,725.0,1.1839769878318263,0.03790812342999612,0.024571893827404878,0.21631120575629104,0.8505199126812949
1400,875.0,1.1876541807283956,0.05332120062566251,0.022591049445463973,0.2500174600630951,0.7505643033132111
